test_id,level,blocking_question,affected_scenario,responsible_authority,required_artifact,downstream_impact
CT-UC004-NEG-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-004,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC004-POS-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-004,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC006-POS-01,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-006,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC006-NEG-01,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-006,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC006-POS-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-006,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC006-NEG-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-006,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC017-POS-01,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-017,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC017-NEG-01,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-017,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC017-POS-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-017,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC017-NEG-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-017,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC020-POS-01,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-020,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC020-NEG-01,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-020,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC020-NEG-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-020,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC020-POS-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-020,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC021-POS-01,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-021,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC021-NEG-01,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-021,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC021-POS-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-021,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC021-NEG-02,CL-1,What normative construction or fixture makes this test reproducibly executable?,UC-021,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC001-NEG-01,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-001,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC001-POS-02,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-001,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC002-POS-01,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-002,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC002-NEG-01,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-002,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC002-POS-02,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-002,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC002-NEG-02,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-002,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC005-POS-01,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-005,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC005-NEG-01,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-005,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC005-POS-02,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-005,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC005-NEG-02,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-005,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC009-POS-02,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-009,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC009-NEG-02,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-009,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC010-POS-01,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-010,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC010-NEG-01,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-010,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC010-POS-02,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-010,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC010-NEG-02,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-010,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC012-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-012,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC012-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-012,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC012-POS-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-012,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC012-NEG-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-012,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC013-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-013,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC013-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-013,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC013-POS-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-013,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC013-NEG-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-013,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC022-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-022,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC022-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-022,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC022-POS-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-022,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC022-NEG-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-022,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC023-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-023,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC023-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-023,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC023-POS-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-023,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC023-NEG-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-023,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC024-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-024,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC024-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-024,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC024-POS-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-024,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC024-NEG-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-024,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC025-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-025,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC025-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-025,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC025-POS-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-025,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC025-NEG-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-025,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC026-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-026,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC026-POS-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-026,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC027-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-027,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC027-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-027,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC027-POS-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-027,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC027-NEG-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-027,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC030-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-030,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC030-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-030,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC030-POS-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-030,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-UC030-NEG-02,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-030,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-BOUNDARY-POS-01,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-021,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-BOUNDARY-NEG-01,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-021,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-SCHEMA-POS-01,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-024,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-SCHEMA-NEG-01,CL-2,What normative construction or fixture makes this test reproducibly executable?,UC-024,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-CTX-POS-01,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-011,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-CTX-NEG-01,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-011,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-LIFE-POS-01,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-029,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-LIFE-NEG-01,CL-3,What normative construction or fixture makes this test reproducibly executable?,UC-029,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-MED-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-028,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-MED-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-028,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-MIG-POS-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-030,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
CT-SEC-MIG-NEG-01,CL-4,What normative construction or fixture makes this test reproducibly executable?,UC-030,Task Force or delegated conformance editors,Decision record plus canonical fixture,Cannot produce automated behavioural evidence.
